,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
64,15215,TransilvaniaS,CV,605537,Baraolt,0,46.0808,25.5958,508,546223.9712,509152.5993,0.05,1
6,15015,TransilvaniaN,MM,747356,Ocna Sugatag,0,47.777,23.9405,503,420749.4086,698050.3535,0.5,1
52,15179,Banat-Crisana,AR,616140,Siria,1,46.2649,21.6628,473,242980.8311,534854.6973,0.75,0
37,15126,TransilvaniaS,MS,633435,Tg. Mures Zoo,1,46.5522,24.5933,465,468969.2523,561452.6124,0.75,0
118,15349,Muntenia,PH,517545,Campina,0,45.1437,25.7334,461,557821.2981,405117.4527,0.3,1
71,15240,TransilvaniaS,SB,545407,Sibiu Zoo,1,45.7633,24.1256,457,432139.0224,474079.8662,0.75,0
36,15124,TransilvaniaS,MS,654438,Batos,1,46.8862,24.6454,449,473125.1069,598545.6414,0.5,0
117,15347,Muntenia,AG,509441,Curtea de Arges,0,45.1788,24.6697,448,474192.2442,408805.3683,0.05,1
75,15260,TransilvaniaS,SB,548409,Sibiu,0,45.7893,24.0914,443,429516.3384,476994.9423,0.005,1
69,15235,TransilvaniaS,BV,551459,Fagaras,0,45.8362,24.9352,428,495117.9756,481810.367,0.05,1
41,15143,TransilvaniaN,CJ,635347,Turda,1,46.583,23.7912,427,407527.8666,565505.3812,0.3,1
34,15120,TransilvaniaN,CJ,647334,Cluj-Napoca,0,46.7778,23.5713,410,391067.557,587425.4071,0.5,1
35,15123,TransilvaniaS,MS,645410,Sarmasu,0,46.7475,24.1598,399,435961.7993,583420.9392,0.05,1
23,15094,Moldova,IS,700733,Barnova (radar),0,47.0124,27.5826,396,696458.3938,615734.0115,0.75,0
3,15007,Moldova,SV,751555,Radauti,0,47.8378,25.8904,389,566797.1337,704651.2759,0.05,1
17,15073,Moldova,NT,714623,Tg. Neamt,0,47.2121,26.3792,387,604601.2992,635631.274,0.3,1
20,15085,TransilvaniaN,BN,708430,Bistrita,0,47.1491,24.5139,366,463291.7844,627822.3983,0.05,1
13,15047,TransilvaniaN,MM,726352,Tg. Lapus,0,47.4396,23.8722,363,415095.4645,660612.9987,0.5,1
28,15109,Moldova,NT,656621,Piatra Neamt,0,46.9337,26.3895,360,605929.9302,604697.9957,1.2,1
8,15023,Moldova,SV,739615,Suceava,0,47.6329,26.2405,352,593362.4648,682224.3972,0.05,1
63,15209,TransilvaniaS,AB,611355,Blaj,1,46.1784,23.9352,337,417950.9218,520384.9214,0.5,1
